speaker,utterance_id,source_wav_path,transcript_path,textgrid_path,annotation_path,source_frames,source_sample_rate_hz,source_duration_seconds,source_full_scale_sample_count,source_audio_pcm_sha256,processed_wav_path,processed_frames,processed_sample_rate_hz,processed_channels,processed_format,processed_subtype,processed_duration_seconds,duration_delta_seconds,processed_peak_abs,processed_out_of_unit_range_sample_count,processed_pcm_sha256,processed_file_sha256
ABA,arctic_a0001,speakers/ABA/wav/arctic_a0001.wav,speakers/ABA/transcript/arctic_a0001.txt,speakers/ABA/textgrid/arctic_a0001.TextGrid,,141120,44100,3.2,0,ddb242704b21852d7d0984878b684936ff51fc3c793dad5b3debda916a593735,speakers/ABA/wav/arctic_a0001.wav,51200,16000,1,WAV,FLOAT,3.2,0.0,0.901666641,0,143852ab127aa1e0a0b9b61fed3f4fb28c28057780942ecab416eda4cfa492a3,dad79a7ff24aa08f901712fdf8d67ff7b6baab5332a815a6d17fd4a8600590b7
ABA,arctic_a0002,speakers/ABA/wav/arctic_a0002.wav,speakers/ABA/transcript/arctic_a0002.txt,speakers/ABA/textgrid/arctic_a0002.TextGrid,,230643,44100,5.23,0,992d31120f58e577f068ad0ce5412c67718b821c80c607100ca3697bb81fdb83,speakers/ABA/wav/arctic_a0002.wav,83680,16000,1,WAV,FLOAT,5.23,0.0,0.889180481,0,e6de83259c1324359dd80f561469e94b14296cc1059f680a210b45935bcc9b90,d3ac0fa219af1883b077232d841d0a51ee7be715993daa154f73dd1c5de5f3d7
ABA,arctic_a0003,speakers/ABA/wav/arctic_a0003.wav,speakers/ABA/transcript/arctic_a0003.txt,speakers/ABA/textgrid/arctic_a0003.TextGrid,speakers/ABA/annotation/arctic_a0003.TextGrid,216972,44100,4.92,0,17858419ddfc39af159325b3f5d310a2df886938a73b00ee06b5c749feab9fe8,speakers/ABA/wav/arctic_a0003.wav,78720,16000,1,WAV,FLOAT,4.92,0.0,0.552409291,0,382cab742d9453bc67f9085af2ea443f07327440114ee0bdc8a97713ca016fba,2fc5e8524931156d50d715b6f307fc4c58b98d0f41e9837bac92a339510725d9
ABA,arctic_a0004,speakers/ABA/wav/arctic_a0004.wav,speakers/ABA/transcript/arctic_a0004.txt,speakers/ABA/textgrid/arctic_a0004.TextGrid,,148243,44100,3.361519274,0,300a8fbde351c7377e079990332fb9c75a7f4ea80fe2f8f9f14598395f3f0a5b,speakers/ABA/wav/arctic_a0004.wav,53784,16000,1,WAV,FLOAT,3.3615,-1.9274e-05,0.423007429,0,c9a46e557fb0ab622e2571c044e08258562fb842e539be39e297a87dd6de3d1c,741ffece2d8fbc457a27515c9475e3ce13c456bec45e403be25f93ae8b81d4a7
ABA,arctic_a0005,speakers/ABA/wav/arctic_a0005.wav,speakers/ABA/transcript/arctic_a0005.txt,speakers/ABA/textgrid/arctic_a0005.TextGrid,speakers/ABA/annotation/arctic_a0005.TextGrid,105399,44100,2.39,0,ce990032425b439f59a6ce9adbc59aa99908321ae29947892bb972ff6f293f4e,speakers/ABA/wav/arctic_a0005.wav,38240,16000,1,WAV,FLOAT,2.39,0.0,0.480467081,0,40619909edb973124cb72cdedc1a1b0d9241da47a6557b62ae43e61934f4d311,455beb4a529066d1db55a55ef2581c9d0c180be58bc9d8a4acd183b39ce64807
ABA,arctic_a0006,speakers/ABA/wav/arctic_a0006.wav,speakers/ABA/transcript/arctic_a0006.txt,speakers/ABA/textgrid/arctic_a0006.TextGrid,speakers/ABA/annotation/arctic_a0006.TextGrid,209432,44100,4.749024943,0,210fb3ddf2fa4a25aab45cb6a6d573a5cc0a7a2ac46a6a4b09ba8c33cb8488c2,speakers/ABA/wav/arctic_a0006.wav,75984,16000,1,WAV,FLOAT,4.749,-2.4943e-05,0.41235289,0,c09eb46ebeb2d61aaca4efc2335e0b86d6c6d0d5615a218997bf60d17e7b2502,12d3979d6d604193c8a1104e6e086cb84b0003fb9f73a3a1ad3e22636b2c9c6e
ABA,arctic_a0007,speakers/ABA/wav/arctic_a0007.wav,speakers/ABA/transcript/arctic_a0007.txt,speakers/ABA/textgrid/arctic_a0007.TextGrid,speakers/ABA/annotation/arctic_a0007.TextGrid,219618,44100,4.98,0,b5628d06a74206ca153622fa5b33b1374fd0962f7e1f729a34969bbf84fc5f8d,speakers/ABA/wav/arctic_a0007.wav,79680,16000,1,WAV,FLOAT,4.98,0.0,0.499194562,0,2966f3a9cb75ba7059591cabf86443ca2968d552f3a5aad96a3946fb9a7bb4f2,693780c277af33528d837fc45a7f9000d8ecae222be263655215381594131977
ABA,arctic_a0008,speakers/ABA/wav/arctic_a0008.wav,speakers/ABA/transcript/arctic_a0008.txt,speakers/ABA/textgrid/arctic_a0008.TextGrid,speakers/ABA/annotation/arctic_a0008.TextGrid,139356,44100,3.16,0,2a7e2812ab6727afd8589aa0800e410b7513193b19c1d8bf5595f38e58160021,speakers/ABA/wav/arctic_a0008.wav,50560,16000,1,WAV,FLOAT,3.16,0.0,0.379698724,0,87669d7a162c2b7878f2da91450cab19092d981b7e7f3eb6250eb65e2b10cb46,7cceed5e74aca600c62a894641311d89488c5d9b34c1c69f9ea0e88e336705e7
ABA,arctic_a0009,speakers/ABA/wav/arctic_a0009.wav,speakers/ABA/transcript/arctic_a0009.txt,speakers/ABA/textgrid/arctic_a0009.TextGrid,,159904,44100,3.625941043,0,37fdfbd98ff6bf94b9423b4db819af628fc63e772805c1d6be342368c400a62c,speakers/ABA/wav/arctic_a0009.wav,58015,16000,1,WAV,FLOAT,3.6259375,-3.543e-06,0.604115725,0,5d5b0593c95ac1af920a4006abeefc6cc3b6998408cb83ec032e6ae59074b82f,0f3f422da9b5cbdcf5c403147eae8cb8fb0266d18c62bb7e52d3f8066103fa3f
ABA,arctic_a0010,speakers/ABA/wav/arctic_a0010.wav,speakers/ABA/transcript/arctic_a0010.txt,speakers/ABA/textgrid/arctic_a0010.TextGrid,speakers/ABA/annotation/arctic_a0010.TextGrid,170971,44100,3.876893424,0,43db80aa3d676bbffd6d6ffda0354f961d70b3537a37ab69aa6880326a6a155e,speakers/ABA/wav/arctic_a0010.wav,62030,16000,1,WAV,FLOAT,3.876875,-1.8424e-05,0.608006895,0,ee33f4b65ed47604b8f8b8427733b6f3726a9d45947388f1e92c2eb899f4be02,a5ce3b9684c955850416a8b8670d6afcc407459a80375d27503ccf1fe2936f48
ABA,arctic_a0011,speakers/ABA/wav/arctic_a0011.wav,speakers/ABA/transcript/arctic_a0011.txt,speakers/ABA/textgrid/arctic_a0011.TextGrid,speakers/ABA/annotation/arctic_a0011.TextGrid,165516,44100,3.753197279,0,03f39c9f1169b42ab41d888039d2ae5df7c6d65430dc12c98e0de95d9813a671,speakers/ABA/wav/arctic_a0011.wav,60051,16000,1,WAV,FLOAT,3.7531875,-9.779e-06,0.778187037,0,1f2105bb8a9c9a297fb943ceaf7558c7c20b943cb21181df6ad76b25f3508a5b,dc961020cd35596f1ee38ebe4ebf972dfc0138623aac4bfc4a52fd5d3ad5cc6a
